,daily,weekly,holiday,Cloudy,Foggy,Showers,Sunny,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,total_litter
2021/5/3,1,0,0,0,0,0,1,0.043916888,0.034482759,0.048629531,0.037135279,0.053050398,0.019451813,0.034597701,0.039787798,0.031830239,0.026640141,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,42
2021/5/5,1,0,1,0,0,1,0,0.039920424,0.036251105,0.044208665,0.037135279,0.053050398,0.025641026,0.032422635,0.038019452,0.028293546,0.026357206,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,22
2021/5/6,1,0,0,0,0,0,1,0.039478338,0.032714412,0.045977011,0.038019452,0.053050398,0.014146773,0.032829355,0.036251105,0.028293546,0.026330681,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,99
2021/5/7,1,0,0,1,0,0,0,0.039434129,0.031830239,0.045977011,0.038019452,0.053934571,0.015915119,0.031847922,0.034482759,0.028293546,0.026595933,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,39
2021/5/8,1,0,1,0,0,0,1,0.042882405,0.032714412,0.053934571,0.038019452,0.053934571,0.019451813,0.038311229,0.047745358,0.030061892,0.026595933,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,67
2021/5/9,1,1,0,0,0,0,1,0.055464191,0.047745358,0.066312997,0.038019452,0.053934571,0.017683466,0.048099027,0.052166225,0.042440318,0.026251105,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,160
2021/5/10,1,0,0,0,0,0,1,0.052900088,0.045977011,0.056587091,0.038903625,0.054818744,0.018567639,0.045941645,0.050397878,0.039787798,0.026330681,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,198
2021/5/12,1,0,0,0,0,0,1,0.047197171,0.038019452,0.053934571,0.038903625,0.054818744,0.013262599,0.039805482,0.042440318,0.034482759,0.026410256,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,43
2021/5/13,1,0,1,0,0,0,1,0.048187445,0.036251105,0.056587091,0.038903625,0.054818744,0.012378426,0.041998232,0.044208665,0.036251105,0.026383731,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,32
2021/5/14,1,0,0,0,0,0,1,0.047356322,0.042440318,0.052166225,0.039787798,0.055702918,0.01061008,0.040229885,0.042440318,0.038019452,0.026330681,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,43
2021/5/15,1,0,1,1,0,0,0,0.044986737,0.042440318,0.050397878,0.039787798,0.055702918,0.008841733,0.040804598,0.044208665,0.038019452,0.026304156,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,165
2021/5/16,1,1,0,0,0,1,0,0.046808134,0.042440318,0.052166225,0.039787798,0.055702918,0.014146773,0.041573828,0.044208665,0.038019452,0.026118479,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,48
2021/5/18,1,0,0,0,0,0,1,0.046728559,0.039787798,0.052166225,0.039787798,0.055702918,0.014146773,0.040380195,0.044208665,0.038019452,0.026489832,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,126
2021/5/20,1,0,0,0,0,0,1,0.046931919,0.038019452,0.053934571,0.040671972,0.056587091,0.017683466,0.039858532,0.044208665,0.036251105,0.026640141,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,69
2021/5/30,1,1,0,0,0,0,1,0.051078691,0.042440318,0.060123784,0.042440318,0.058355438,0.012378426,0.043457118,0.047745358,0.039787798,0.026878868,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,159
2021/5/31,1,0,0,0,0,0,1,0.054730327,0.044208665,0.063660477,0.042440318,0.058355438,0.011494253,0.044447392,0.047745358,0.039787798,0.026772767,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,350
2021/6/1,1,0,0,0,0,0,1,0.058028294,0.045977011,0.068081344,0.042440318,0.058355438,0.012378426,0.040636605,0.044208665,0.038019452,0.026622458,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,151
2021/6/2,1,0,0,0,0,0,1,0.061096375,0.048629531,0.069849691,0.042440318,0.058355438,0.011494253,0.047895668,0.050397878,0.040671972,0.026516357,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,255
2021/6/3,1,0,0,0,0,0,1,0.059699381,0.053934571,0.064544651,0.042440318,0.058355438,0.013262599,0.052404951,0.056587091,0.048629531,0.026640141,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,172
2021/6/4,1,0,0,0,0,0,1,0.059239611,0.048629531,0.068081344,0.042440318,0.058355438,0.008841733,0.050583554,0.058355438,0.047745358,0.026666667,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,124
2021/6/5,1,0,1,1,0,0,0,0.051653404,0.048629531,0.053934571,0.043324492,0.059239611,0.012378426,0.049752431,0.052166225,0.047745358,0.026719717,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,165
2021/6/6,1,1,0,0,0,0,1,0.054412025,0.048629531,0.061892131,0.043324492,0.059239611,0.01061008,0.044465075,0.047745358,0.038019452,0.026772767,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,147
2021/6/7,1,0,0,0,0,0,1,0.055349248,0.044208665,0.063660477,0.043324492,0.059239611,0.01061008,0.044650752,0.048629531,0.042440318,0.026772767,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,295
2021/6/8,1,0,0,0,0,0,1,0.058249337,0.047745358,0.066312997,0.043324492,0.059239611,0.01061008,0.047064545,0.050397878,0.042440318,0.026746242,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,290
2021/6/9,1,0,0,0,0,0,1,0.058028294,0.048629531,0.064544651,0.043324492,0.059239611,0.013262599,0.047639257,0.052166225,0.039787798,0.026693192,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,127
2021/6/10,1,0,0,0,0,0,1,0.057506631,0.047745358,0.068081344,0.043324492,0.059239611,0.011494253,0.050088417,0.053934571,0.045977011,0.026666667,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,166
2021/6/11,1,0,0,0,1,0,0,0.056498674,0.048629531,0.064544651,0.043324492,0.059239611,0.015030946,0.05250221,0.055702918,0.048629531,0.026640141,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,103
2021/6/12,1,0,1,0,0,0,1,0.054358974,0.045977011,0.058355438,0.043324492,0.060123784,0.015030946,0.046861185,0.052166225,0.040671972,0.026799293,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,215
