date,weather
2021/12/27,Showers
2021/12/28,Showers
2021/12/29,Showers
2021/12/30,Cloudy
2021/12/31,Sunny
2022/1/1,Showers
2022/1/2,Showers
2022/1/3,Sunny
2022/1/4,Showers
2022/1/5,Showers
2022/1/6,Sunny
2022/1/7,Showers
2022/1/8,Showers
2022/1/9,Cloudy
2022/1/10,Cloudy
2022/1/11,Foggy
2022/1/12,Foggy
2022/1/13,Foggy
2022/1/14,Cloudy
2022/1/15,Foggy
2022/1/16,Foggy
2022/1/17,Cloudy
2022/1/18,Foggy
2022/1/19,Cloudy
2022/1/20,Cloudy
2022/1/21,Cloudy
2022/1/22,Cloudy
2022/1/23,Cloudy
2022/1/24,Cloudy
2022/1/25,Cloudy
2022/1/26,Cloudy
2022/1/27,Cloudy
2022/1/28,Sunny
2022/1/29,Cloudy
2022/1/30,Cloudy
2022/1/31,Showers
2022/2/1,Showers
2022/2/2,Sunny
2022/2/3,Showers
2022/2/4,Cloudy
2022/2/5,Sunny
2022/2/6,Showers
2022/2/7,Sunny
2022/2/8,Cloudy
2022/2/9,Showers
2022/2/10,Sunny
2022/2/11,Sunny
2022/2/12,Sunny
2022/2/13,Sunny
2022/2/14,Sunny
2022/2/15,Cloudy
2022/2/16,Showers
2022/2/17,Sunny
2022/2/18,Showers
2022/2/19,Cloudy
2022/2/20,Showers
2022/2/21,Showers
2022/2/22,Showers
2022/2/23,Sunny
2022/2/24,Cloudy
2022/2/25,Cloudy
2022/2/26,Sunny
2022/2/27,Sunny
2022/2/28,Sunny
2022/3/1,Showers
2022/3/2,Sunny
2022/3/3,Sunny
2022/3/4,Sunny
2022/3/5,Sunny
2022/3/6,Sunny
2022/3/7,Sunny
2022/3/8,Sunny
2022/3/9,Sunny
2022/3/10,Sunny
2022/3/11,Sunny
2022/3/12,Sunny
2022/3/13,Sunny
2022/3/14,Sunny
2022/3/15,Sunny
2022/3/16,Sunny
2022/3/17,Sunny
2022/3/18,Sunny
2022/3/19,Sunny
2022/3/20,Sunny
2022/3/21,Sunny
2022/3/22,Sunny
2022/3/23,Sunny
2022/3/24,Sunny
2022/3/25,Sunny
2022/3/26,Sunny
2022/3/27,Showers
2022/3/28,Sunny
2022/3/29,Sunny
2022/3/30,Sunny
2022/3/31,Showers
2022/4/1,Cloudy
